标题,totalStarIcon1,resource_date
很不错 江南水乡 早都想来 一直没有时间 古巷古镇游船 很有感觉 小桥流水 晚上做船很不错 本人比较喜欢夜景 不太会拍照 大家参考一下,5分,2019-10-24
还不错，还是值得去玩玩的，就是人太多了，不多的话可以更好好的逛逛吃吃喝喝了,5分,2019-10-05
周庄第二次来！变化很大，少了一些古味，多了一些商业气息！不过体验提高了，吃喝玩乐及其方便！就是店家揽客有一些夸张！,5分,2019-09-21
很美很舒服，环境也不错，适合春夏季节去游玩，美食很多很有特色，是一个让人流连忘返的地方，小学课本里的故事终于重现。,5分,2019-09-18
携程买票超级方便，以后有机会还会去,5分,2019-07-23
古镇环境不错 就是有点商业化了 里面东西玩的还是比较多的,5分,2020-09-01
总体感受一般吧，名气大，有些小景点要单独收费，对于本来就不便宜的门票来说真的有点坑，最有看点的就是夜景，古镇不大，逛不了多久就结束了，总之只适合来一次。,3分,2020-01-06
作为江南古镇的代表之一，周庄还是值得一去的。周庄很大，里面景点也很多，适合慢慢闲逛，这样才能融入到周庄的氛围中。,5分,2019-06-21
真棒，双人游门票要便宜好多，关键是配套的纸箱王套餐太棒了，吃的很不错，味道特好，还有包装精致的饮料，好玩的小火车,5分,2019-05-05
去过几次周庄，越来越商业。。。全都是商业气息，但是，卖的东西，也都大同小异，毫无特色，吃的东西，同样也是大同小异，毫无特色，江南的古镇，感觉都差不多，全是看人，很难享受小桥流水人家的那种意境了,5分,2019-04-25
周庄古镇是水上公园，一日游值得关注的景点很多，名人轶事和名人文化也不少！,5分,2019-04-04
第一次走入梦里水乡周庄，小桥流水人家尽枕河，江南水乡的代表，值得一游！,5分,2020-08-15
典型的江南水乡古镇代表，也是江南地区最大的水乡之一，烟雨楼台很有韵味！,4分,2020-04-07
周庄古镇是典型的江南水乡特色，小桥流水人家的经典场景，仿若隔世的感觉。,4分,2020-03-28
景色迷人，介绍好朋友一起去看看,5分,2019-11-17
周庄古镇四面环水，因河成镇，依水成街，景色优美，建于元、明、清各代的古石桥保存完好，各具特色，民居也依旧保存着明清时期的建筑风貌。,4分,2019-04-09
"拙政园建议去哦！
即便是冬天的拙政园也很美 江南园林的特色齐全 贵为四大园林之首必然是有原因的 园林采用了“隔景 透景 漏景 对景”等多种方式来让你慢慢发现它的韵味 真的是值得慢慢品味",3分,2016-09-12
周庄感觉没有乌镇好，都差不多，古镇景色，可以参观几个展馆，感觉一般。,5分,2019-11-12
周庄然后我觉得挺秀气的，然后觉得美食真的很多，像沈万三猪蹄(┯_┯),5分,2019-10-12
景色不错，人山人海，商业气息扑面而来，适合没怎么去游玩过古镇的朋友！,4分,2019-08-01
比想象中要有游玩性些，虽然商铺部较多，但大多比较有特色，还会再来的,5分,2020-08-17
很不错滴，就是人太多了。应该人少的时候来，还是很不错滴。下次找个人少的时候过来看看。不过节假日哪里人都多。,5分,2019-10-06
画重点，一定要晚上去看夜景，白天的话就是商业街，还不如苏州平江路呢,4分,2019-08-23
出票很快，很方便。周庄太商业化了实在是，完全没什么古镇的感觉了……,5分,2019-06-14
一家人出行，正好遇上半价，很方便，一张票可以来来回回进出，很方便,5分,2020-05-03
还可以，值得一去，里面人特别多，有一个很有趣的纸箱做的餐厅，很赞,5分,2020-02-18
订票方便，扫码即可。和其他水乡古镇区别不大。可以买船票坐船游览。,5分,2019-07-01
兑换方便，价格很真实，的确比现场买便宜，兑换点在入周庄检票口前。周庄的票价虽然还是觉得贵，但里面的物价较其他古镇来说和外面差不多一致，有利有弊吧,5分,2019-06-10
……………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………,5分,2019-05-22
主要是双桥两厅两题ti，工作日去人相对要少,5分,2020-09-06
人山人海，还想再去一次，江南水乡，就是有不一般的特色，意境不错,5分,2020-04-03
带爸爸游览周庄古镇，特意报的行程，有导游的讲解这样参观才更充实，对周庄的蹄膀种草了，非常好吃（买回去的，其中这次蹄膀给成了猪蹄，后面买的人注意要看仔细哦），周庄晚上表演不错，值得打卡,4分,2019-12-30
买了门票可以玩3天，正好还有中秋灯会，晚上看灯，白天看景，很喜欢周庄古镇这中水乡的感觉，尤其是坐着船在小镇里转上一圈，感觉真的很好，值得一去。,5分,2019-10-21
环境优美、店家热情，游船船主的小调唱的很好。下次有机会会再来。,5分,2019-07-27
很好很方便，提前买了过去，不用排队购票，直接到了换纸质票，排队入场也很快，节假日人很多，但是排队很快。,5分,2019-05-07
还不错  晚上做乌篷船 很好,5分,2019-04-02
十一去的人比较多，但有心理准备觉得还好。古镇两边全是卖东西的，感觉和商业街一样，为什么不去商业街。5块钱200ml的酸梅汤一点味道没有，早知道酸梅汤这么贵昨天在海底捞多喝点了。景点里的看点，有好多里面是商店。最气人的是，早上9点不到预约的演出座位在最边上，妈的(ノ=Д=)ノ┻━┻。,2分,2020-10-02
景色不错，体验很好，值得推荐，有趣好玩，,5分,2020-08-07
周庄白天去还是天快黑了去，大家帮忙推荐一下吧！都说夜景不错啊,4分,2020-08-06
值得推荐，景色不错，体验很好，有趣好玩，,5分,2020-06-23
有趣好玩，值得推荐，体验很好，景色不错，,5分,2020-05-28
景色不错，值得推荐，体验很好，有趣好玩，,5分,2020-05-22
因为疫情，大年三十11点就关门了，但是人不多，别样风情和体验,5分,2020-05-09
小桥流水，江南风光！,5分,2020-05-04
景区可以的、古色古乡、风景秀丽的湖光山色交相辉映下次再来看看,5分,2020-05-02
号称江南第一水乡 这个名号真的够大。不过实际上去看过了也基本上对得起这个名头。小巧，流水，人家。整个周庄基本上保留了原来的风貌，感觉还是不错。,4分,2019-10-28
周庄的古镇味道和美丽景色确实不错，只不过商业化的气息太过于重了，游客太多。建议在平时过去参观会更好。,5分,2019-10-06
不愧江南第一水乡，小桥流水人家，景色简直太美了，夜景更加美。,5分,2019-10-04
上有天堂，下有苏杭。国庆人太多了，看人，看水，看乡，看周庄！,5分,2019-10-04
"提前一天预定门票，方便快捷的很！和家人一同游览幸福满满。曾经是二十多年前来过，那时只是个学生，现在是携手老公儿子,再看周庄感觉就是幸福满满!",5分,2019-08-19
很大，值得花一天时间慢慢走慢慢看，很有江南韵味。很大，值得花一天时间慢慢走慢慢看，很有江南韵味很大，值得花一天时间慢慢走慢慢看，很有江南韵味,5分,2019-08-10
很漂亮，有一种生活叫周庄，江南水乡，夜景更有意境！值得一去！,5分,2019-04-14
没去过可以来一次呀，去过乌镇，同里，宏村等好多古镇。再来这里可能更多的不是惊喜，因为在苏州住的，就来了个一日游，人不多，风景不错。女儿说商业气息浓，到处是万三猪蹄。还可以吧，相比之下，更喜欢同里，安静，惬意！,5分,2019-01-24
周庄原名贞丰里，1086年改名为周庄，位于上海、苏州、杭州之间。镇为泽国，四面环水，咫尺往来，皆须舟楫。全镇依河成街，桥街相连，深宅大院，重脊高檐，河埠廊坊，过街骑楼，穿竹石栏，临河水阁，一派古朴幽静，是江南典型的小桥流水人家,5分,2019-01-22
提前一天购买的周庄门票，使用很方便，而且比在游客中心购买便宜。如果要在周庄住宿，取票入园后务必记得拍照，即使不再外出。拍照后门票三天有效，还可以多次出入。如果不拍照，门票次日就失效了。水乡古镇风光很美。,5分,2018-10-15
绝对的5分，太美了！感觉自己像走在画中，时间都静止了。小桥流水人家，清风明月树丫，清晨一个人走在青石板路上，看着卖馄饨的大姐穿着蜡染的青花衣挑着担穿梭在长长的小巷中，一缕缕的热气从担子中飘出，觉得太美了。夜晚又是一番景象，静、静，看见两旁的房屋树木小舟在水中的倒影，没法形容的美！强烈推荐！,5分,2018-09-22
终于有机会来一次说走就走的旅行，毫不犹豫的选择了我一直向往的周庄。没让我失望，这正是我想象的梦里水乡，美的让人流连忘返。古老的气息，空气里弥漫着潮湿的味道。去的当天夜晚下起了大雨，听着雨声入眠，仿佛一切烦恼烟消云散，连梦里都是清甜的味道。如果还有机会，一定再去一次。,5分,2018-08-27
周庄古镇商业化气息比较重，小镇不大，整个转下来不累，古镇旅游人数很多，来玩一定要规避好人流，周庄夜景还是挺好的，而且桥上的咖啡馆挺有特色，老板人好，材料也足；知名馆子的万三蹄又酥又烂，连不爱吃肉的老婆都喜欢；袜底酥有一家现烤的，带回家老人说好；巷子里还有一家不知名小店卖自家吃的粥，虽然很快就卖完了，但是真好吃。,5分,2018-08-04
朝发夕至！2018年5月28号，早上从襄阳出发，下午五点半就到了昆山，胖胖开车到火车站接的我们，并安排好了吃住！第二天早上，胖胖开车接上我们去过早，当地的特色“奥灶面”味道不错！然后直奔周庄，途中下起了小雨，不过，到了周庄景区后就不下来。真是老天保佑！哈哈！周庄，十年前来过，不过记忆已模糊了！而且上次是跟团游，走马观花！胖哥把我们放下，就去忙工作挣钱去了！我们两口子开始了周庄深度游！打电话联系了网上预订的酒店，老板真是不错，出来接的我们并购买了折扣票！到酒店安顿好了，就迫不及待的夸上相机出门逛！说实在的：周庄不大，随便逛都不会迷路！小桥流水人家，著名的双桥，沈厅，张厅，三毛茶楼，迷楼等！还有 万三蹄 是必须品尝一下！,5分,2018-06-19
春天，它不像夏天那样干枯炎热，不像秋天那样冷清，也不像冬天那样寒冷。而是一个生机勃勃， 万物复苏，充满活力的季节。这是一个适合春游踏青的季节！这样美好的季节不出去浪简直就是犯罪！周庄古镇这个时间游客并不多，可以让你轻松的体验它的美。,5分,2018-05-10
江南小镇，风景很美，温度适宜，细雨蒙蒙，特色美食，赞不绝口，风景如画，特别推荐一品云亭客栈，家的感觉，老板夫妇特别热情，服务周到，客栈价格经济实惠，干净卫生，很舒适，很温馨，下次假期还会光顾，值得推荐，赞！！！,5分,2015-12-14
强推！！超爱周庄！！记得淡季去淡季去淡季去！！重要的事情说三遍~跟凤凰给我的感觉完全不一样~有一种小家碧玉的感觉。淡季晚上八点多店铺就都关门了，没有夜景。偶尔的星星点点的灯光，整个古镇显得特别安静诗意，白天人也不多，感觉超棒景色很美。凤凰夜景很美吊脚楼也很美。只是我们都知道夜景是人造灯光出来~比较热闹繁华。都很棒，只是不同个性的美。,5分,2015-11-05
对周庄有情结，大学写生去过一周，2010年五一节去过，今天2015年11月1日再去。周庄在变化着，各种有情调的客栈，价格不贵，花间堂很赞，钱富裕的情况下住那里也很棒，早餐也丰盛，下着下雨走过双桥、富安桥、迷楼……甚是欢喜，下次还要来的。,5分,2015-11-01
之前看这种古镇，想这次去一个看看，就选择了周庄，据说乌镇比周庄大，东西比周庄贵，还不知道，以后有机会尝试吧，周庄让我们最记忆尤神了，因为它不同于城市，里面的人，吃的，小商品，都体现了周庄人民的朴实无华，他们所有的东西都是自己做的，还有很多创意，尤其推荐生气鱼，超级鲜美，有一家最便宜18一只，是男厨师做的，我感觉，男人做饭确实不错哈哈，绝对不比什么大酒店的差，真的让人后悔没多吃一条，万三蹄热热的时候有点腻，凉了以后更好吃啦，神奇的是，它的汁沾在衣服上，我以为会很油很难洗，但是干在身上抠抠，就掉了一些，沾点水居然没有了，就像根本没沾到一样，这样看来绝对不油腻啦，好消化！！特别的是，有一些老人做的饼，点心，都超好，尤其是一家做玫瑰袜底酥的，仅此一家，就连苏州也没有这样的，他们的酥里，玫瑰分明，一尝就知道无添加香精什么的，很正宗，老师傅跟有性格，但是他的手艺很难超越了！人们都说景区的东西吃的一定会贵！但是这要看你会不会吃了，农家菜很实惠，完全不必在外面吃，里面很特色，不必要去吃周庄里面的贵的饭店！这次游周庄，真的感受很深，有机会一定在再去！去的时候一定不要赶到黄金周就好啦，哈哈！,5分,2015-10-19
周庄整体来说不错，安静，但是先说说毛病，第一停车以后要走20分钟才到真正的古镇，停车场票务中心附近全是三轮车，不正规宰客，大家以后去不要坐，走也好。点菜吃饭，点完在单子后面签字，省得莫名其妙的让人换了，这里所有店家泡的茶不问好价格不要喝，150一壶是便宜的。景点整体不错，就是路乱，老是迷路。而且好像没乌镇大。环境很好很惬意，休闲玩是很不错的。,5分,2015-10-06
不得不说，冬日的周庄是最美的！是夏天的时候绝对看不到的风景。夏季逢暑期，络绎不绝的人群和这座充满味道和古韵的小镇格格不入。想象一下浪漫的双桥上挤满了排队的人群和臭汗…很庆幸选择在人流较少的冬季出游，安静的小村落显得格外有味道，和朋友中午吃完周庄的特色饭万三蹄就出发逛了，下午的周庄很安静。三毛茶楼，坐船，小店到处走走看看，真的很醉人。最感动的还是周庄的一方水土养育一方人，这里的人都很淳朴善良，不管老少。客栈的老板一个电话直接开着车到车站来载我们，周庄的石板路不方便，老板一路帮我抬着拉杆箱，到了之后很热情的给我们介绍路和吃的，客栈虽小，但很明亮有特色，摸摸电风吹上面也是一点灰尘没有，这样的细节很感人，这是高级酒店都做不到的认真。周庄古镇的年轻人大多都出门了，只留下年纪比较大的老人，个个善良，问路的时候怕你听不懂，感觉不用看店的话恨不得都直接带你去了～也可能是从上海玩完直接过来的原因，这座小镇值得我回味一生。,5分,2015-08-24
“江南第一水乡”周庄，是我从小就非常向往的一个地方。趁着有假期就带上我的小伙伴踏上一个寻梦的旅程。我们选择在上海长途客运总站出发，大约1个小时就能到达周庄汽车站了，回程的时候也是在这里坐车。门口有公交和一些出租车可以直接到达景区门口，我们提早订好了房间，所以是老板亲自来接的我们。刚进景区可能会觉得并没有想象的那么好，商业开发很严重，到处都有商家。但是如果你静下心来，欣赏这里的人文景观，就会发现这一行绝对不会令你后悔。酒店如果你不是国定节假日来不用担心订不到房间，景区内酒店还是很多的，还有一块区域在开发，老板们也都非常的热情。来到周庄必须吃一下这里的万三蹄，问过老板的意见，说是都差不多，我们随意找了家店买了一个尝尝，2个女生一个蹄膀可以吃到饱，味道也还不错，淡期可以还下价，因为临走时需要带一些回家送人，所以去过很多家店问价格，总结一下就是还是在景区里买，淡季的时候景区内价格稍便宜，而且味道也比景区外的好。还有一个必去的地方是纸箱王，坐在里面可以吃着饭，听着歌，看着这个由纸搭出来的“世界”，你会感受到不一样的感觉。晚上和清晨的周庄更有一番不一样的美景，在这个游客稀少的时间段更能带你“梦回周庄”。离开喧闹的城市，在这里住上一晚，你会感受到周庄的魅力，这里就有我一直向往的生活。,5分,2015-08-17
总体说一下，最多的是中华田园犬和中华田园猫，安静比西塘好很多。一张门票，如果你就是登记拍照了，可以三天之内进进出出的。门票是100，学生证什么证半价50，贵了点。现在正好是他的风车节。但是吃货们注意了，吃的性价比不高，又贵量少，晚上没有夜宵。酒吧也在10点半停止唱歌演奏，为了周围的居民。张厅和沈厅值得一去，被沈万三水墓骗了，就一块牌坊。然后就是茶馆什么的了，偶尔有人唱唱评弹，很有情调。里面的手工艺品真的都是老爷爷老奶奶亲手做的。万三蹄膀真的不错，但是不要在酒店吃，真的没有正宗的好吃，在富安桥下面有一家沈万三蹄膀专店，真的很好吃。可能上海人口味偏甜吧！差不多吧，环境安静舒服！我住的是碧水云庄，还不错。我发现里面客栈也很多，我觉得什么贞丰轩也不错的，花间堂也不错，有情调，大家可以参考一下。,5分,2015-06-26
周庄游玩两日，恰逢天公作美，阴雨晴空体验个遍，风景可谓时时不同。个人比较喜欢清晨日暮，被烟雾笼罩的千年古镇，处处充满宁憩的优雅。本来长枪短炮已经无法抵挡，现在又是自拍神棍大行其道。建议大家清晨六点钟以前进入，既能尽情拍摄风景，又能欣赏古镇原貌。,5分,2015-05-15
性价比低，可玩性低，体验不佳，没什么玩的，和一般的商业街的差别不大，可能是因为晚上去的看不到好的地方，中秋灯光秀就是放了10分钟的水幕电影，清晰度很低，甚至只看出来其中的几幕，剩下来的都是模模糊糊的,1分,2020-10-03
苏州周庄是一个不错的旅游景点，在那里你可以欣赏天下美景……,4分,2020-07-05
住在水边的感觉不错,5分,2020-04-05
景点不错，走路走的有点累了，车位少了点，找了很久才找到车位,5分,2020-03-31
商业气息太浓，主要是免费加了分，附近的本地人也就饭后散散步,4分,2020-03-22
周庄之美是源自于其自身，幽静而不乏喧嚣，古老而又充满生机。,5分,2019-05-13
"江南水乡古镇，四季周庄。沈万三的老家，
晚上
【景色】迷人，小桥流水人家。美食白鱼不错，特有的双桥。袜底酥、万三蹄䠙值得一去，最好是下午入园晚上看演出住在景区，第二天早上体验慢生活。",5分,2019-05-03
环境很好，坐了游船🚢惬意景色不错，值得推荐，体验很好，,5分,2020-07-16
景点非常不错，景色也可以带着家人一看去看看，心情就会变好,4分,2020-06-26
值得去的地方，千万不要节假日去，那个人多的，光看人吧，还是平时去，都是建筑群，没有花草不分季节。,5分,2020-02-21
周庄古镇的白天和夜晚各具特色，有让人心动想去旅游的感觉。,4分,2019-12-12
还行吧，江南的古镇大多都一样，不过每个城市的古镇都有它独特的味道，适合想要放松心情，喜欢慢慢游玩的人。就是游船价格比较高，就没有选择啦，在岸边漫步，也挺好哒，看个人喜好选择啦。,5分,2019-11-12
周庄在昆山位置很靠近上海。从上海自驾游过来很方便，周庄是一个充满诗情画意的地方，保留的比较完好原来的这种风貌。充满着神奇的沈万三的故事。,4分,2019-11-04
"人极少很好很好，看见有商家在河里刷碗
劝自己“那是文化”",5分,2020-08-31
古镇去了好多地方，周庄名气大，也一直没去过，到了昆山直接杀到周庄，万三蹄是特色，里面的景色跟乌镇同里也是大同小异，江南水乡了值得推荐，,4分,2020-08-26
景色非常好值得一去 比起摄政园要好得多 请了讲解了解到很多,5分,2020-08-04
老景区，不是很大的，转转还是不错的，吃吃喝喝还可以哈。,5分,2020-08-02
挺好，夜景很美,5分,2020-03-15
湖景房不错！,5分,2020-08-18
看了四季周庄的演出，网上只能订明天票，大家可以到门口的餐馆吃饭兼叫店家订当天票价格跟网上一样。刷身份证可以多次出入，听说有效期3天。,4分,2020-08-09
古色古香的韵味少了点，里面管理有点混乱，吆喝声有点大,5分,2020-07-02
景色不错，值得推荐，景区挺大的大概需要大半天时间逛完,5分,2020-05-31
体验很好，h,5分,2020-05-23
周庄景色很美，可惜因为疫情的原因很多小景点都没有开。,5分,2020-04-30
好玩。水乡特色～不过商业化日趋严重～希望能保留那份淳朴。面，很好吃，实惠,5分,2020-04-16
特别棒，就是抱孩子有点累，下次还是得带个车，哈哈哈哈,5分,2020-04-12
15年去过，会就会住在周庄的同学，小桥流水人家，不过商业气息比较重了，但也不失是一个好地方！,5分,2019-12-21
很不错的体验,5分,2019-12-17
相对比于城市的喧嚣繁华，这种宁静质朴的小镇更深得我心,4分,2019-09-20
一次较满意的旅行，周庄地方不大，但游客相对很多，人来人往，接踵磨肩。沿河而建的古建筑，孕育了悠久的历史，景色优美，小桥流水人家，但狭窄的道路两旁布满了商店，商业气息有点浓。,5分,2019-07-21
感受到水乡独特的古镇特色，船穿过街道，两岸景色宜人！,5分,2019-05-02
非常好的一次体验，人们也很热情，船工小调唱的温婉。,5分,2020-08-17
人不算多，天气很好，环境特别棒,5分,2020-05-08
远离都市的江南小镇美丽水乡，周庄的一桥一弄一民居都充满着古朴气息，放松心情放慢脚步细细品味,5分,2020-02-24
江南古镇，各具特色，要想了解，就必须沉下心来，走街串巷，跟着感觉到处看看，会有自己的感悟！,5分,2020-01-07
一会儿太阳，一会儿雨，总体今天不算太热，人不算太多,4分,2019-08-04
玩得超开心，我干儿子说这里好漂亮啊！我们一行五口人走了两三个小时，吃饭最好在景区外面解决，可能价格比里面便宜点,5分,2019-05-14
景色不错，小桥流水，古情古韵,5分,2020-08-02
环境超级好！！！面向湖！！！店家人也超级好！！！,5分,2020-07-28
景色没得说，无愧于天下第一庄，一个字，赞👍🏻,5分,2020-07-13
很方便，直接刷身份证就可以了,5分,2020-05-06
订购快捷，取票方便。周庄还是很不错的，值得看看。,5分,2020-04-21
坐小火车一人30元，餐饮68元一份，合计起来还算可以，尤其是带孩子的，因为窗口门票售价是100。里面卖东西的挺多餐饮也多。水乡。,4分,2019-07-21
离上海比较近的一个景点，小桥流水典型的江南水乡， 以前来过一次了，旧地重游。景点管理的相对来说要比以前好一些，不过，游客还是不少。,4分,2019-05-17
被里面的文化所震撼。小吃很好吃，景点很有特色，很有江南水乡的风味。看一看里面的纪念馆就很有启发，他们为了保护江南水乡做了很多很多的努力有没有同济大学的老师，还有很多为周庄的保护而努力的人。,5分,2019-03-01
慢节奏，总体感觉还是不错的体验很好，值得推荐，,5分,2020-09-05
为什么一个订单只能买一张门票，麻烦到家了。晕。,5分,2020-05-14
我和我老公带着我的妈妈一起游玩了周庄古镇，周庄古镇是世界文化遗产预选地，在古镇住宿一、二晚，你才能真正领悟到她无与伦比的美丽。,5分,2019-11-03
有钱的水乡，厕所都有空调。时隔多年再来越发美丽,4分,2019-08-22
非常有情调的一个小镇，古香古色，还有特色的演出,5分,2019-06-04
emmmmm，很大，我们上午去的，碰上旅行团不是很多，有点商业化，不过景点还是很好看的,5分,2019-04-16
这破阵子也敢围起来收100元门票，一锤子买卖，想钱想疯了！还有部分不开放。商家都快倒闭完了，看来命不久矣,1分,2021-01-02
买一次的门票，可以使用三天，这个还是真的不错,5分,2020-09-09
周庄还是美的 就是可惜万三蹄没有以前甜了(哭),5分,2020-08-19
赞美景色不错，值得推荐，体验很好，有趣好玩，,5分,2020-08-06
每一次来江南水乡都是特别的喜欢，每一次来都还行，而且特别喜欢这里，尤其是晚上住宿，在这里感受一下江南水乡的韵味，特别有感觉！,4分,2019-11-27
全国水上乐园之代表，风景优美，人文景观丰厚！,5分,2019-10-06
门票100已经不便宜了，可这100的价值体现在哪里呢！进了小景点比如沈厅的二楼还要三十的门票，怪楼也要三十的门票，河水绿的超不正常，污染严重，河道船夫唱的小调真是甜美！吃的味道太一般！,3分,2019-08-25
很有特色的南方小镇，有商家小铺子卖东西的。,4分,2020-09-01
环境不错，河水有点味道,5分,2020-08-10
周庄晚上去比较漂亮，大多商铺都关了，很有古镇水乡味道。白天商业气息太浓了，到处是商铺和客栈，人声嘈杂，很难给人古镇的感觉。,4分,2020-05-06
周庄的糯米鸭很好吃的，去的朋友一定要吃噢，,4分,2020-04-26
开了车去的，找了一个民宿住下还挺合适的，周庄去的时候下大雨，加上来用比较多，所以说在里边待的时间不长，可惜没有好好的欣赏。,4分,2019-10-22
古镇也是当地为数不多的几个原生态保留的老建筑，原住民的老街镇，当地小吃很多，也可以坐坐船游览，交通也便利，游人挺多的。不错,4分,2019-08-07
周庄距离上海很近，在人民广场，有直达周庄的公共交通，在商榻站周转一下车就可以了，周庄不大，一条小河，两侧都是房屋，很朴素。,4分,2019-06-17
水乡古镇大同小异，乌镇西塘周庄都都差不多！,5分,2019-06-17
喜欢旅游，喜欢古镇的每一处，小桥流水，别致的私家住宅，旅游景区免不了商业化但还是会买好多东西，就是忍不住要买些新奇的东西，挺让我感到人性化的是古镇的门票可以连用三天，这方面的挺喜欢的,5分,2018-08-25
景色不错，有趣好玩，体验很好，值得推荐，,5分,2020-09-11
体验很好，值得推荐，有趣好玩，景色不错，,5分,2020-09-09
值得推荐，景色不错，体验很好，有趣好玩，,5分,2020-09-08
景色不错，体验很好，有趣好玩，值得推荐，,5分,2020-09-07
晚上8:30后是免费入场的，疫情期间需要提前预约时间段，我们约的下午，7:30进去的，三个人240.票有点白买了的感觉！江南所有古镇几乎大同小异，没有特别惊艳，8月中还是挺热的！8:30开始免票，人流就明显多了起来！我们9点不到出园的！一般吧，买门票游览的话建议挑选凉爽的天气！大夏天的还是选择8:30后的免票入园方式吧！,3分,2020-09-05
体验很好，值得推荐，景色不错，有趣好玩，,5分,2020-08-29
景色不错，值得推荐，有趣好玩，体验很好，,5分,2020-08-26
景色不错，有趣好玩，值得推荐，体验很好，,5分,2020-08-25
值得推荐，有趣好玩，景色不错，体验很好，,5分,2020-08-24
昆山周庄的猪蹄子买的人多、味道也不错👍,4分,2020-08-18
值得推荐，体验很好，有趣好玩，景色不错，,5分,2020-08-18
体验很好，值得推荐，景色不错，有趣好玩，,5分,2020-08-15
体验很好，值得推荐，景色不错，有趣好玩，,5分,2020-08-07
景色不错，值得推荐，体验很好，有趣好玩，,5分,2020-08-06
体验很好，值得推荐，景色不错，有趣好玩，,5分,2020-08-05
带小孩乘了木船和纸箱小火车，孩子很开心。,5分,2020-08-04
体验很好，景色不错，有趣好玩，值得推荐，,5分,2020-08-02
值得推荐，体验很好，景色不错，有趣好玩，,5分,2020-07-20
景色不错，值得推荐，,5分,2020-07-11
有趣好玩，体验很好，值得推荐，景色不错，,5分,2020-06-30
体验很好，景色不错，有趣好玩，值得推荐，,5分,2020-06-21
景色不错，体验很好，值得推荐，有趣好玩，,5分,2020-06-06
体验很好，值得推荐，景色不错，有趣好玩，,5分,2020-05-27
周庄挺不错，停车也十分非常方便，路程大概在2个小时不到，晚上夜景也很漂亮。。。。吃的东西业还可以。。。下次还会再去。。。,5分,2019-11-17
号称第一水乡的周庄购票后录像可凭票三日内进出景区很方便，性价比很高。夜游摇橹船是有趣的，拼船也可以，价格差不多人均30。,4分,2019-10-22
上半年去了乌镇，这次游周庄，临行结束，跟老公说“南方的古镇就到这里吧，以后不再看古镇了”。周庄商业化太重，乌镇东栅还可以看看江南水乡的原貌，周庄除了几所老宅、故居，其余全是商铺、民宿。江南水乡，看乌镇一个，留住美好，就够了。,4分,2019-10-11
20年前去过周庄写生，现在去和以前大不一样，商业气息太重了，我不太喜欢了，没有西塘好，总体感觉！也许是节假日的缘故也有可能，反正没有体现出古镇小桥流水人家的美，只觉得人山人海，过桥都限制人流，真的是有点心累！,4分,2019-10-03
"来了苏州40次，终于有机会去周庄了。这个时候去是最好的，人少。学生上学了，又不是周末，又不是假日，天气不错。
周庄离苏州40公里，属于昆山。门票100。
其实，就是大版的山塘街，不过风景好得多。人少确实比较舒服。
一个沈万三，趁起了周庄的旅游。里面有沈厅，张厅，怪楼等。
虽然不大，但是水乡阡陌交通，走着容易走绕，还是不错的。",4分,2019-09-18
一个传统的江南水乡，留给我们的既有斑驳的白墙，也有烤黑的石板地。行走其中，总能感觉到一种历史的沧桑，确实是个有些年岁的古镇，留下的先人痕迹没有改变，留下的石拱桥和一汪碧水没有改变，留下的惬意的生活气息没有改变。虽然商业味渐浓，但古镇的人尽量还原着曾经的一切，让传统得以传承。置身周庄古镇，就是在一个非物质文化遗产里面。直到现在我才知道，别说是张厅、沈厅，就连这些老旧的街道瓦房，铺着石板的拱桥，都是非物质文化遗产，完好保存的14座古石桥分别建于元、明、清各代，60[[%]]以上的民居依旧保存着明清时期的建筑风貌，整个周庄古镇是世界文化遗产预选地。绝对要在古镇住宿一晚，等熙熙攘攘的游客退去的之际，才是真真体会她精髓之时。特别是清晨，在一场漫天大雪后，太阳缓缓撒向古镇时，你才会真正领略到她无与伦比的美。,3分,2019-09-03
周庄票价不贵，但是人太多了，节假日交通管制非常不方便，需要停在几公里之外的学校，然后坐大巴过去，下车还要走半小时。而且景区人挤人，建议不要国庆春节去，那是受罪。,5分,2019-08-14
和同学一起去玩的，真心不错，就是比较晒，,5分,2019-08-13
周庄是保留比较好的离上海比较近的古镇，建筑错落有致，而且当地小吃很多，民风也比较朴实。坐着手摇船欣赏两岸古建筑非常惬意。,4分,2019-05-08
声名远扬的江南水乡，有“中国第一水乡”之誉，是国家首批5A级景区。始建于1086年（北宋元祐元年），因邑人周迪功先生捐地修全福寺而得名。春秋时为吴王少子摇的封地，名为贞丰里。古有沈万三，现在又因陈逸飞、吴冠中等画家，让中国的水乡之美闻名世界。周庄门票贵，但面积大，几乎涵盖了所以能想到的水乡场景，特别在烟雨蒙蒙下非常有江南风情。自然古镇里少不了商铺林立，游人如织，但相对整治得不错。,5分,2019-03-08
